Rank,Title,Worldwide_Gross,Domestic_Gross,Domestic_Pct,Foreign_Gross,Foreign_Pct,Year,Category,Profit_Margin_Pct,ROI,IMDb_Rating,IMDb_Votes,Runtime_Min,Genres,Main_Genre,Franchise,Franchise_Universe,Is_Franchise,Category_Clean,Budget_USD
90,Wolf Warrior 2,870325439.0,2721100.0,0.3,867604339.0,99.7,2017,Drama/Other,96.54,28.914,5.9,9474.0,123.0,"Action,Adventure,Drama",Action,Wolf Warrior,Bona/China,True,Chinese Blockbuster,30100000.0
5,Ne Zha 2,2150000000.0,23322209.0,1.1,2126677791.0,98.9,2025,Drama/Other,96.28,26.875,8.0,19372.0,144.0,"Action,Adventure,Animation",Action,Ne Zha,Chinese Animation,True,Animation/Family,80000000.0
59,The Lion King,979161373.0,424979720.0,43.4,554181653.0,56.6,1994,Drama/Other,95.4,21.759,8.5,1228657.0,88.0,"Adventure,Animation,Drama",Adventure,The Lion King,Disney,True,Animation/Family,45000000.0
40,Joker,1078958629.0,335477657.0,31.1,743480972.0,68.9,2019,Drama/Other,94.9,19.617,8.3,1650211.0,122.0,"Crime,Drama,Thriller",Crime,Standalone,—,True,Horror/Thriller,55000000.0
39,Jurassic Park,1104381322.0,407185075.0,36.9,697196247.0,63.1,1993,Blockbuster,94.3,17.53,8.2,1150086.0,127.0,"Action,Adventure,Sci-Fi",Action,Jurassic Park/World,Universal,True,Sci-Fi/Fantasy,63000000.0
77,Bohemian Rhapsody,910813521.0,216668042.0,23.8,694145479.0,76.2,2018,Drama/Other,93.96,16.56,7.9,632712.0,134.0,"Biography,Drama,Music",Biography,Standalone,—,False,Drama,55000000.0
29,Minions,1159457503.0,336045770.0,29.0,823411733.0,71.0,2015,Animated,93.62,15.668,6.4,278313.0,91.0,"Adventure,Animation,Comedy",Adventure,Despicable Me/Minions,Universal/Illumination,True,Animation/Family,74000000.0
51,Despicable Me 3,1034800131.0,264624300.0,25.6,770175831.0,74.4,2017,Animated,92.75,13.797,6.3,174549.0,89.0,"Adventure,Animation,Comedy",Adventure,Despicable Me/Minions,Universal/Illumination,True,Animation/Family,75000000.0
18,The Super Mario Bros. Movie,1360847665.0,574934330.0,42.2,785913335.0,57.8,2023,Blockbuster,92.65,13.608,7.0,277845.0,92.0,"Adventure,Animation,Comedy",Adventure,Standalone,—,False,Animation/Family,100000000.0
76,Shrek 2,932534181.0,444978202.0,47.7,487555979.0,52.3,2004,Animated,92.49,13.322,7.4,542532.0,93.0,"Adventure,Animation,Comedy",Adventure,Shrek,DreamWorks,True,Animation/Family,70000000.0
62,Despicable Me 2,970766005.0,368065385.0,37.9,602700620.0,62.1,2013,Animated,92.17,12.773,7.3,451402.0,98.0,"Adventure,Animation,Comedy",Adventure,Despicable Me/Minions,Universal/Illumination,True,Animation/Family,76000000.0
1,Avatar,2923710708.0,785221649.0,26.9,2138489059.0,73.1,2009,Drama/Other,91.89,12.336,7.9,1451079.0,162.0,"Action,Adventure,Fantasy",Action,Avatar,20th/Disney,True,Sci-Fi/Fantasy,237000000.0
32,The Lord of the Rings: The Return of the King,1139429977.0,381878219.0,33.5,757551758.0,66.5,2003,Blockbuster,91.75,12.122,9.0,2116249.0,201.0,"Adventure,Drama,Fantasy",Adventure,The Lord of the Rings,WB,True,Sci-Fi/Fantasy,94000000.0
88,The Secret Life of Pets,875698161.0,368623860.0,42.1,507074301.0,57.9,2016,Drama/Other,91.44,11.676,6.5,231145.0,86.0,"Adventure,Animation,Comedy",Adventure,Standalone,—,False,Animation/Family,75000000.0
4,Titanic,2264812968.0,674354882.0,29.8,1590458086.0,70.2,1997,Drama/Other,91.17,11.324,7.9,1361950.0,194.0,"Drama,Romance",Drama,Standalone,—,False,Drama,200000000.0
65,Jumanji: Welcome to the Jungle,962544585.0,404540171.0,42.0,558004414.0,58.0,2017,Drama/Other,90.65,10.695,6.9,489833.0,119.0,"Action,Adventure,Comedy",Action,Jumanji,Sony,True,Action/Adventure,90000000.0
50,Lilo & Stitch,1037746162.0,423778855.0,40.8,613967307.0,59.2,2025,Drama/Other,90.36,10.377,6.7,82842.0,108.0,"Action,Adventure,Comedy",Action,Standalone,—,False,Action/Adventure,100000000.0
72,Finding Nemo,941637960.0,380843261.0,40.4,560794699.0,59.6,2003,Animated,90.02,10.017,8.2,1182177.0,100.0,"Adventure,Animation,Comedy",Adventure,Finding Nemo/Dory,Pixar/Disney,True,Animation/Family,94000000.0
75,The Lord of the Rings: The Two Towers,938836704.0,345518923.0,36.8,593317781.0,63.2,2002,Blockbuster,89.99,9.988,8.8,1909661.0,179.0,"Adventure,Drama,Fantasy",Adventure,The Lord of the Rings,WB,True,Sci-Fi/Fantasy,94000000.0
16,Barbie,1447138421.0,636238421.0,44.0,810900000.0,56.0,2023,Drama/Other,89.98,9.98,6.8,630791.0,114.0,"Adventure,Comedy,Fantasy",Adventure,Standalone,—,False,Comedy,145000000.0
83,Ice Age: Dawn of the Dinosaurs,886686817.0,196573705.0,22.2,690113112.0,77.8,2009,Animated,89.85,9.852,6.9,280451.0,94.0,"Adventure,Animation,Comedy",Adventure,Ice Age,Fox/Disney,True,Animation/Family,90000000.0
60,Oppenheimer,975811333.0,330078895.0,33.8,645732438.0,66.2,2023,Drama/Other,89.75,9.758,8.3,952779.0,180.0,"Biography,Drama,History",Biography,Standalone,—,False,Drama,100000000.0
61,Despicable Me 4,972021410.0,361004205.0,37.1,611017205.0,62.9,2024,Animated,89.71,9.72,6.2,72789.0,94.0,"Adventure,Animation,Comedy",Adventure,Despicable Me/Minions,Universal/Illumination,True,Animation/Family,100000000.0
15,Frozen II,1453683476.0,477373578.0,32.8,976309898.0,67.2,2019,Animated,89.68,9.691,6.8,212517.0,103.0,"Adventure,Animation,Comedy",Adventure,Standalone,—,True,Animation/Family,150000000.0
8,Spider-Man: No Way Home,1921426073.0,814866759.0,42.4,1106559314.0,57.6,2021,Blockbuster,89.59,9.607,8.2,984696.0,148.0,"Action,Adventure,Fantasy",Action,Marvel: Spider-Man,Marvel/Sony,True,Superhero,200000000.0
81,The Lord of the Rings: The Fellowship of the Ring,889475295.0,319372078.0,35.9,570103217.0,64.1,2001,Blockbuster,89.54,9.564,8.9,2151460.0,178.0,"Adventure,Drama,Fantasy",Adventure,The Lord of the Rings,WB,True,Sci-Fi/Fantasy,93000000.0
74,Minions: The Rise of Gru,940482695.0,370549695.0,39.4,569933000.0,60.6,2022,Animated,89.37,9.405,6.5,101755.0,87.0,"Adventure,Animation,Comedy",Adventure,Despicable Me/Minions,Universal/Illumination,True,Animation/Family,100000000.0
87,Ice Age: Continental Drift,877244782.0,161321843.0,18.4,715922939.0,81.6,2012,Animated,89.17,9.234,6.5,239092.0,88.0,"Adventure,Animation,Comedy",Adventure,Ice Age,Fox/Disney,True,Animation/Family,95000000.0
49,Star Wars: Episode I - The Phantom Menace,1046515409.0,487576624.0,46.6,558938785.0,53.4,1999,Blockbuster,89.01,9.1,6.5,908708.0,136.0,"Action,Adventure,Fantasy",Action,Star Wars,Lucasfilm/Disney,True,Sci-Fi/Fantasy,115000000.0
84,Harry Potter and the Chamber of Secrets,882933392.0,262641637.0,29.8,620291755.0,70.2,2002,Blockbuster,88.67,8.829,7.5,745909.0,161.0,"Adventure,Family,Fantasy",Adventure,Harry Potter,WB,True,Animation/Family,100000000.0
24,Frozen,1286319131.0,400953009.0,31.2,885366122.0,68.8,2013,Animated,88.34,8.575,7.4,699358.0,102.0,"Adventure,Animation,Comedy",Adventure,Standalone,—,True,Animation/Family,150000000.0
96,Venom,856085161.0,213515506.0,24.9,642569655.0,75.1,2018,Drama/Other,88.32,8.561,6.6,592750.0,112.0,"Action,Adventure,Sci-Fi",Action,Marvel: Spider-Verse (Venom),Sony/Marvel,True,Superhero,100000000.0
9,Inside Out 2,1698863816.0,652980194.0,38.4,1045883622.0,61.6,2024,Animated,88.23,8.494,7.5,234756.0,96.0,"Adventure,Animation,Comedy",Adventure,Inside Out,Pixar/Disney,True,Animation/Family,200000000.0
14,Top Gun: Maverick,1495696292.0,718732821.0,48.0,776963471.0,52.0,2022,Drama/Other,88.17,8.45,8.2,810990.0,130.0,"Action,Drama",Action,Standalone,—,False,Action/Adventure,177000000.0
53,Harry Potter and the Sorcerer's Stone,1028538783.0,318886962.0,31.0,709651821.0,69.0,2001,Blockbuster,87.85,8.228,7.7,924131.0,152.0,"Adventure,Family,Fantasy",Adventure,Harry Potter,WB,True,Animation/Family,125000000.0
78,Star Wars: Episode III - Revenge of the Sith,905595947.0,414378291.0,45.8,491217656.0,54.2,2005,Blockbuster,87.52,8.014,7.6,902395.0,140.0,"Action,Adventure,Fantasy",Action,Star Wars,Lucasfilm/Disney,True,Sci-Fi/Fantasy,113000000.0
13,Furious 7,1515342457.0,353007020.0,23.3,1162335437.0,76.7,2015,Blockbuster,87.46,7.975,7.1,433195.0,137.0,"Action,Thriller",Action,Standalone,—,True,Horror/Thriller,190000000.0
25,Beauty and the Beast,1266115964.0,504481165.0,39.8,761634799.0,60.2,2017,Drama/Other,87.36,7.913,7.1,353098.0,129.0,"Adventure,Family,Fantasy",Adventure,Standalone,—,False,Animation/Family,160000000.0
10,Jurassic World,1671537444.0,653406625.0,39.1,1018130819.0,60.9,2015,Blockbuster,87.14,7.775,6.9,716843.0,124.0,"Action,Adventure,Sci-Fi",Action,Jurassic Park/World,Universal,True,Sci-Fi/Fantasy,215000000.0
23,Jurassic World: Fallen Kingdom,1310469037.0,417719760.0,31.9,892749277.0,68.1,2018,Blockbuster,87.03,7.709,6.1,372329.0,128.0,"Action,Adventure,Sci-Fi",Action,Jurassic Park/World,Universal,True,Sci-Fi/Fantasy,170000000.0
31,Aquaman,1152028393.0,335104314.0,29.1,816924079.0,70.9,2018,Blockbuster,86.11,7.2,6.8,545447.0,143.0,"Action,Adventure,Fantasy",Action,DC: Aquaman,DC,True,Superhero,160000000.0
